date,year,month,city,route_id,transport_mode,avg_daily_riders,total_monthly_riders,avg_ticket_price,service_frequency_per_hour,avg_delay_minutes,capacity_utilisation
2019-02-01,2019,2,London,LON-001,Bus,19345,541660,2.23,12.3,4.5,1.02
2019-03-01,2019,3,London,LON-001,Bus,19686,610266,2.13,12.6,10.4,0.87
2019-04-01,2019,4,London,LON-001,Bus,20421,612630,2.26,12.5,8.7,0.94
2019-05-01,2019,5,London,LON-001,Bus,24838,769978,2.07,13.1,13.1,1.11
2019-06-01,2019,6,London,LON-001,bus,32952,988560,242,17.2,18.2,1.01
2019-07-01,2019,7,London,LON-001,Bus,24701,765731,2.15,13.7,11.7,1.06
2019-09-01,2019,9,London,LON-001,Bus,20181,605430,2.24,11.9,13.6,0.94
2019-10-01,2019,10,London,LON-001,Bus,17897,554807,207,10.3,14.9,0.9
2019-12-01,2019,12,London,LON-001,Bus,20287,628897,2.16,14.4,,0.68
2020-02-01,2020,2,London,LON-001,Bus,17292,501468,2.23,10.8,14.5,0.95
2020-03-01,2020,3,London,LON-001,Bus,15638,484778,2.15,8.5,13.1,1.1
2020-04-01,2020,4,London,LON-001,Bus,19546,586380,229,12,11.7,0.84
2020-05-01,2020,5,London,LON-001,Bus,24109,747379,2.22,13.5,11.3,0.97
2020-06-01,2020,6,London,LON-001,Bus,23779,713370,2.3,13.4,12.8,1.04
2020-08-01,2020,8,London,LON-001,Bus,21358,662098,2.12,11.6,8.6,1.07
2020-09-01,2020,9,London,LON-001,Bus,24506,735180,2.33,13,16.4,1.02
2020-10-01,2020,10,London,LON-001,Bus,22784,706304,2.23,10.9,13.9,1.12
2020-12-01,2020,12,London,LON-001,Bus,15148,469588,2.28,11.4,14,0.73
2021-01-01,2021,1,London,LON-001,Bus,17072,529232,2.27,10.3,8.5,0.91
2021-02-01,2021,2,London,LON-001,Bus,21878,612584,2.48,13.8,8.4,0.84
2021-03-01,2021,3,London,LON-001,Bus,19371,600501,2.09,9.3,7.8,1.15
2021-04-01,2021,4,London,LON-001,Bus,21772,653160,2.32,11,11.4,1.1
2021-05-01,2021,5,LDN,LON-001,Bus,27147,841557,2.38,13.5,9.2,1.08
2021-07-01,2021,7,London,LON-001,Bus,33576,1040856,2.33,16.2,13,1.58
2021-09-01,2021,9,London,LON-001,Bus,27685,830550,2.23,15.3,13.5,0.92
2021-10-01,2021,10,London,LON-001,Bus,20374,631594,2.33,11.2,14.9,1.13
2021-11-01,2021,11,London,LON-001,Bus,23363,700890,2.32,12.2,15,1.15
2022-01-01,2022,1,London,LON-001,Bus,17116,530596,2.15,13.2,10.5,0.83
2022-02-01,2022,2,London,LON-001,Bus,17767,497476,2.25,11.4,14.1,0.93
2022-03-01,2022,3,London,LON-001,Bus,22616,701096,2.26,11.9,15,1.04
2022-05-01,2022,5,london,LON-001,Bus,32411,1004741,2.43,17.1,10.5,1.39
2022-06-01,2022,6,London,LON-001,Bus,23963,718890,2.44,13.7,7.5,0.96
2022-07-01,2022,7,London,LON-001,Bus,24704,765824,238,14.1,6.3,0.97
2022-08-01,2022,8,London,LON-001,Bus,23411,725741,2.44,11.1,12.2,1.15
2022-09-01,2022,9,London,LON-001,Bus,22677,680310,2.46,13.4,13.7,0.96
2022-10-01,2022,10,London,LON-001,Bus,24794,768614,2.37,15.2,9.7,0.86
2022-11-01,2022,11,London,LON-001,Bus,30159,904770,2.32,15.2,9.5,1.1
